,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,state,prob,cost,iteration,p,avr_C,gamma
0,0,0,0,11,0.047,0,34,1,4.923999999999996,0.01
1,1,1,1,11011000,0.016,4,28,1,10.157000000000004,0.01
2,2,2,2,100010100,0.082,-20,29,1,2.7859999999999987,0.01
3,3,3,3,100010100,0.047,-20,34,1,0.3949999999999985,0.01
4,4,4,4,100010001,0.043,-3,29,1,3.935999999999996,0.01
5,5,5,5,100011,0.027,-1,28,1,13.036,0.01
6,6,6,6,100010110,0.098,-3,29,1,-0.0269999999999997,0.01
7,7,7,7,100010100,0.05,-20,38,1,-0.253000000000005,0.01
8,8,8,8,100010100,0.099,-20,31,1,-0.8100000000000023,0.01
9,9,9,9,1100,0.034,-1,31,1,13.608999999999993,0.01
10,10,10,10,10001110,0.034,-2,29,1,4.162999999999999,0.01
11,11,11,11,10001110,0.024,-2,30,1,5.252999999999994,0.01
12,12,12,12,1,0.044,0,31,1,3.465,0.01
13,13,13,13,100010100,0.051,-20,32,1,0.7499999999999993,0.01
14,14,14,14,100010100,0.057,-20,29,1,-1.2070000000000027,0.01
15,15,15,15,100010111,0.03,-3,27,1,4.465999999999997,0.01
16,16,16,16,100010100,0.053,-20,31,1,3.3429999999999978,0.01
17,17,17,17,100,0.058,0,33,1,2.039999999999999,0.01
18,18,18,18,100010101,0.087,-3,28,1,8.118999999999996,0.01
19,19,19,19,100010101,0.066,-3,29,1,11.086999999999994,0.01
20,20,20,20,100010100,0.027,-20,29,1,3.457999999999997,0.02
21,21,21,21,101011000,0.038,-5,30,1,7.274999999999992,0.02
22,22,22,22,101100111,0.01,5,29,1,12.038999999999994,0.02
23,23,23,23,11100011,0.029,-3,28,1,11.775000000000002,0.02
24,24,24,24,11100011,0.029,-3,38,1,11.322999999999997,0.02
25,25,25,25,100010100,0.055,-20,31,1,1.1599999999999988,0.02
26,26,26,26,100010100,0.067,-20,33,1,-1.076000000000008,0.02
27,27,27,27,11,0.055,0,32,1,5.069000000000001,0.02
28,28,28,28,100,0.025,0,37,1,5.837999999999995,0.02
29,29,29,29,100010100,0.02,-20,31,1,3.512999999999999,0.02
30,30,30,30,101110001,0.017,-5,31,1,8.716999999999992,0.02
31,31,31,31,100010101,0.056,-3,28,1,5.350999999999996,0.02
32,32,32,32,111,0.042,0,31,1,5.714999999999997,0.02
33,33,33,33,100010100,0.071,-20,29,1,-0.5200000000000007,0.02
34,34,34,34,100010100,0.058,-20,31,1,-1.0730000000000055,0.02
35,35,35,35,110100111,0.013,-12,34,1,5.598999999999996,0.02
36,36,36,36,101011000,0.015,-5,29,1,9.116,0.02
37,37,37,37,100010100,0.04,-20,35,1,-0.2340000000000028,0.02
38,38,38,38,100010100,0.06,-20,29,1,-1.723000000000004,0.02
39,39,39,39,101111000,0.013,11,33,1,9.707,0.02
40,40,40,40,100000100,0.026,-10,25,1,5.444999999999999,0.03
41,41,41,41,11,0.029,0,28,1,6.147999999999998,0.03
42,42,42,42,100010100,0.028,-20,30,1,1.4019999999999997,0.03
43,43,43,43,110110111,0.03,-5,29,1,5.877999999999996,0.03
44,44,44,44,1,0.015,0,31,1,12.304999999999998,0.03
45,45,45,45,100010100,0.032,-20,34,1,5.154999999999999,0.03
46,46,46,46,101,0.038,17,26,1,14.270000000000008,0.03
47,47,47,47,1100,0.017,-1,30,1,11.597,0.03
48,48,48,48,10001,0.032,-10,31,1,4.516999999999997,0.03
49,49,49,49,100100000,0.018,23,31,1,16.058,0.03
